isotope,distance_cm,counts_free,mean_cps_free_model,counts_Al,mean_cps_Al_model,counts_Cu,mean_cps_Cu_model,counts_Pb,mean_cps_Pb_model
Co60,10.0,9803,324.4704273771011,9213,310.80722071696744,8524,280.78604392525716,5559,187.86284510543658
Co60,10.0,9646,322.1776604440943,8888,295.2570963068172,7855,262.2071449142539,5245,177.13296670923918
Co60,10.0,9483,315.1005554792734,9334,312.9902361252502,7815,264.49524269711196,5740,193.20304473309267
Co60,10.0,9669,321.8797723550428,8872,294.85069522860675,8015,268.12594979065346,5558,182.60290785847974
Co60,10.0,9572,323.0925646061161,8976,296.57328283939626,8377,276.6910582630202,5629,188.6693827548599
Co60,10.0,9641,322.98137088263206,9562,320.5648092291821,8380,275.05912652970136,5620,190.76127051897382
Co60,10.0,9780,323.25256044957575,9771,325.492546297423,8040,269.6400220782074,5596,182.613227228885
Co60,10.0,9915,333.30104640267365,9164,307.47815806306846,8362,275.82758099740624,5680,185.7034016484931
Co60,10.0,9329,313.68152215510383,9373,309.14799051669513,8050,269.0280030538297,5387,182.93033917496618
Co60,10.0,9562,318.548428595006,9428,315.55820236709474,7584,254.6571728535601,5542,183.9545908575618
Co60,10.0,9430,318.2687513169699,9489,314.66021471323455,8212,274.89857385337837,5416,179.60859869029466
Co60,10.0,9383,311.0851730738238,9215,307.0574104190722,7881,261.05472319358796,5740,186.41639075722003
Co60,10.0,9561,312.95072036897386,9205,309.19705514605346,8128,270.6888632535165,5596,190.51958657408818
Co60,10.0,9624,322.33894514823584,9632,318.8676947989234,8163,270.8609120909386,5490,185.79051656400935
Co60,10.0,9693,322.63765225968814,9215,305.76037797110087,7806,261.70923306483246,5671,187.9595726585674
Co60,10.0,9666,327.3985414399504,9789,328.6354515344908,8182,268.41388090372516,5642,185.76444556701134
Co60,10.0,9434,317.6180885008584,10010,335.84868369927045,7977,260.99056760094504,5579,186.460102953909
Co60,10.0,9486,312.37885653738437,8860,298.74759060486014,8126,270.28341565595315,5487,185.98185212249447
Co60,10.0,9754,323.2200862431345,9468,316.9312762652548,8301,272.8369630512425,5601,186.61424549926406
Co60,10.0,9813,325.1380145962385,9800,321.96667769992047,7916,263.2170390637327,5480,182.91935462860303
Co60,10.0,9477,326.1763417133706,9036,297.89020696581656,8159,269.4699591829815,5389,178.77985080978007
Co60,10.0,9623,320.4101465591343,9194,306.3101121610896,7906,264.04646457029014,5732,188.28125526403292
Co60,10.0,9165,309.19733233649805,9286,309.0880763007278,7801,259.5713895195171,5641,188.60333108897902
Co60,10.0,9704,331.40220034267963,9290,305.8189155812119,7860,262.06591991704124,5435,183.79209008788362
Co60,10.0,10080,334.69170173538475,8950,299.4896608153717,8372,277.6782846444552,5386,184.13547960743568
Co60,10.0,9819,320.6282187649102,9228,308.64293182845046,8738,284.9229141509112,5164,174.47585076691368
Co60,10.0,9495,322.5289268096153,9307,306.5632994461197,7815,264.587432582112,5676,188.2673183454496
Co60,10.0,9755,327.31575906955067,9600,317.53439066304145,8032,268.83367858086547,5505,184.6626571068152
Co60,10.0,9616,318.04086917095503,9503,321.6443875056237,8314,278.7413345871911,5502,184.18849934805914
Co60,10.0,9912,322.917497172396,9363,310.87836734447984,7889,261.47516488368433,5410,178.10819877324934
Co60,10.0,9392,319.8897790443778,9109,304.1580466277036,7776,262.8235954627015,5500,182.50306791537764
Co60,10.0,9487,322.2046991399785,9286,307.57738924292323,7714,258.17305987088014,5377,177.15679150719996
Co60,10.0,9690,327.71893660881824,9115,310.617342448296,8209,271.4004160588893,5599,180.01301848799005
Co60,10.0,9794,326.21129592540007,9082,308.5035787784068,8109,269.17289060315863,5586,186.53652990457817
Co60,10.0,9597,327.85088573048614,9397,313.6246703865794,7872,262.7173417113644,5451,181.13456463247448
Co60,10.0,9637,323.07580378199447,9907,328.454790117199,7941,259.128068750192,5609,193.10056003707655
Co60,10.0,9945,330.6149610864916,9345,307.9082536994433,7816,257.0799200405713,5424,181.13465138012032
Co60,10.0,9550,321.08266068540706,9529,316.52526228891185,8149,271.4720911484859,5416,180.40064202099168
Co60,10.0,10291,338.5467313239379,9696,327.39625231127786,8269,273.81056809209434,5629,190.82226847957332
Co60,10.0,9855,329.5258203816463,9045,296.61095908523697,8379,280.2119548740761,5444,184.44984231892056
Co60,10.0,9129,304.6695580458036,9344,311.53186404249595,7621,259.24581881752675,5523,187.38160557139918
Co60,10.0,9598,323.2993842148716,9256,303.78462434591944,7762,261.62673495253193,5516,186.5663026103525
Co60,10.0,9481,319.03672676040895,9089,302.9491956244255,8030,263.76307151867576,5404,185.1384343154263
Co60,10.0,9665,325.52750030039084,9523,318.65468049257765,7721,257.67179318761214,5516,190.81361812562005
Co60,10.0,9759,325.18901266750186,9301,314.74521673112974,7649,256.9901443145929,5485,185.08666739287932
Co60,10.0,10146,335.18427471565315,9431,319.74214608954765,8393,280.3670782018345,5554,186.73792018265377
Co60,10.0,9880,328.3355979277848,9713,328.7460417803266,7834,264.1297060631103,5372,181.6872062012261
Co60,10.0,9588,320.43669465150344,9007,304.7389086865029,7844,264.6815016262324,5773,187.80356031953886
Co60,10.0,9229,304.97535246990765,9453,316.77862943282696,7582,256.8325627668505,5483,184.321807528402
Co60,10.0,9591,319.40528181217417,8997,301.409318942884,8227,276.50650666980175,5496,181.24532589908986
Co60,10.0,8891,297.7551994988544,9024,305.03724816133376,8108,269.6366063307213,5408,183.3187773461577
Co60,10.0,9360,315.6115439833476,9293,308.2290430012559,8237,275.49684225226906,5462,182.48023863707178
Co60,10.0,9166,303.1628727107673,9189,308.9390395684197,8399,275.1852131662447,5096,173.20067561895183
Co60,10.0,9082,306.69272378798144,9695,322.03841265320193,8005,270.34829240927,5502,185.30698586266212
Co60,10.0,9698,320.6440961349746,9191,307.8339484726792,8093,266.9739238539746,5317,179.26709035444682
Co60,10.0,9891,327.826453280951,9643,323.8946324269661,7662,255.7033107467487,5655,191.44946453987092
Co60,10.0,10452,342.01176781655147,9451,313.1505419452069,7912,263.08520463106225,5576,186.40593489240982
Co60,10.0,9204,311.0935566176728,9452,310.91652949736863,7502,256.34761384623755,5821,191.61439964678416
Co60,10.0,9337,310.89106062265853,8883,297.52103017297617,7918,266.48159807127513,5675,192.30095407798655
Co60,10.0,9028,295.7280202135259,9368,311.542839549182,8010,266.98129080059056,5220,178.63817416206757
Co60,10.0,9562,321.78276284691077,9340,310.75381540476656,8019,267.0852052509522,5723,191.48859232576993
Co60,10.0,9472,316.9158116532769,9303,308.7644646471645,8204,275.97903857475967,5782,190.34440442781434
Co60,10.0,9124,309.0008497199725,9613,318.26475450796835,8033,266.29350021647167,5647,189.79196945886397
Co60,10.0,9666,322.93519720017906,9129,301.0580436784032,7935,263.72857510720667,5341,177.15188115214616
Co60,10.0,8980,301.26263532904653,9886,326.8803916497058,8193,268.7086873774329,5669,189.51616903508642
Co60,10.0,9721,322.7702159200286,8794,297.0364688129538,7977,269.127502939479,5471,185.7960962577105
Co60,10.0,9753,323.6742748014303,8826,297.1029157673992,8153,270.9022709210718,5588,188.9224554722769
Co60,10.0,9108,303.4321319180152,8920,300.8086885879842,8042,270.3848977161143,5365,180.36669414576207
Co60,10.0,9355,311.217140723204,9684,321.24897938042716,7901,262.57813695313075,5625,187.5324194612211
Co60,10.0,9765,330.34345993657115,9241,305.85827710858337,7860,264.3065548931096,5862,193.00698127746782
Co60,10.0,9728,325.59628965995483,9108,298.262453024483,7962,268.4338121417454,5713,187.14039824292695
Co60,10.0,9807,325.0381140313794,9570,321.4867314541645,8073,272.1989238215465,5678,185.10746051012228
Co60,10.0,9480,310.2704911363257,9846,321.24469596608225,8028,269.2013367066397,5465,184.2315829999522
Co60,10.0,9614,321.9992039447034,9049,307.82438917520636,8345,279.79828942527683,5656,185.05265816511803
Co60,10.0,9820,320.7405559034789,9721,321.352691895534,8661,286.16187310636246,5452,182.2990147016748
Co60,10.0,9446,316.2183186461373,9228,309.5499031992621,8032,268.7307215937518,5624,185.23804130233384
Co60,10.0,10078,328.8589015862892,9336,310.1438317092701,8135,270.23315419275144,5533,186.50922436787522
Co60,10.0,9516,314.3917352621772,9348,307.15220496961825,8441,279.6005394569354,5513,181.27557782280869
Co60,10.0,9681,321.8263071876617,8811,298.7397333481548,8059,264.41246296130385,5558,182.1766252638281
Co60,10.0,9615,325.9268984540555,9852,329.6289996846175,7909,268.74235873877365,5828,192.91891338202691
Co60,10.0,9590,319.85219393534527,9777,322.4294770751135,8159,274.0833280102204,5867,193.17562188438768
Co60,10.0,9879,327.38433963077625,9527,316.46249464016023,7989,267.7414861389275,5460,184.80731274743238
Co60,10.0,9641,320.25870340641336,9734,323.21844027894673,8293,273.8113765487213,5903,194.73384329070203
Co60,10.0,9612,319.14234020851745,9289,314.46287606324404,7917,265.6550845092919,5410,185.04052513664388
Co60,10.0,9998,330.75541966032364,9035,298.674530380506,8470,280.6837928776519,5497,183.76144766177245
Co60,10.0,9775,323.96013005048,9066,307.6202191661428,7985,259.42632473884976,5637,188.37982443732616
Co60,10.0,10069,336.619732964429,9219,302.6439564858746,7900,259.6411903022603,5965,191.19211489859492
Co60,10.0,9775,323.0845281173994,9558,316.0199042994584,8198,270.45776014036915,5524,187.57521553911414
Co60,10.0,9325,313.9124692814666,9640,327.7957300215628,8207,275.2691573493242,5403,180.87253055940462
Co60,10.0,9227,305.74487458862853,9645,318.6801469531059,7745,261.76679099600443,5541,183.8502451310481
Co60,10.0,9491,318.01132243553303,9210,312.2540275669871,7862,261.50801190491256,5551,182.70137567256006
Co60,10.0,9757,332.59419892927406,9664,320.11879673320175,8228,275.6766267113993,5487,187.21177380796422
Co60,10.0,9942,331.856546590709,9420,313.7495748632625,8040,264.12391380456825,5375,181.7031530570344
Co60,10.0,9609,319.78080866965115,9829,330.7859695340783,8127,267.06728306421473,5329,175.8714129401041
Co60,10.0,9392,308.96810903297893,8959,299.18975634357054,8450,277.0472230753769,5467,183.8955468301757
Co60,10.0,10069,333.28886314753305,9787,324.1088586125022,8054,264.8791958733368,5367,180.77900505799067
Co60,10.0,9768,326.9452883958351,8509,287.06367902745774,7854,259.31893236961105,5633,189.7993384423207
Co60,10.0,9574,320.6913970195423,9005,300.77876903797693,8306,280.20002381937906,5684,188.27036858138527
Co60,10.0,9727,323.437419070084,9383,315.7858961099911,8061,268.45496758325874,5322,183.9018783805068
Co60,10.0,9744,326.5937606949402,9094,311.31137067986083,8263,275.8344946251759,5571,185.7907147775107
Co60,10.0,9805,329.9736453506377,9387,302.90833985992003,8044,264.3304437004497,5848,193.50702799480956
Co60,10.0,9640,321.3537701462922,9582,315.21575355669313,8236,277.2477477599559,5675,189.9283266547187
Co60,10.0,9810,322.7237191871513,9180,305.410617797524,7970,267.16603169067037,5739,188.83087719989592
Co60,10.0,9620,317.3219284697601,9734,324.0704476023202,7798,260.8009674240228,5287,176.99637973321398
Co60,10.0,9346,314.2493442707945,9041,300.4274920862476,7885,263.8495344453672,5859,195.1728419118824
Co60,10.0,9247,307.49384779912765,8957,297.60388684225546,8424,273.4324401603681,5576,188.2860903138534
Co60,10.0,9727,326.8303573080809,9393,314.481885575286,7634,256.34393737867134,5579,183.6010247751028
