isotope,distance_cm,counts_free,counts_Al,counts_Cu,counts_Pb,Al_ratio,Cu_ratio,Pb_ratio
Co60,10.0,9803,9213,8524,5559,0.9398143425481995,0.8695297357951648,0.567071304702642
Co60,10.0,9646,8888,7855,5245,0.9214182044370723,0.8143271822517105,0.5437487041260626
Co60,10.0,9483,9334,7815,5740,0.9842876726774228,0.8241062954761151,0.6052936834335126
Co60,10.0,9669,8872,8015,5558,0.917571620643293,0.8289378425897197,0.5748267659530458
Co60,10.0,9572,8976,8377,5629,0.9377350605933974,0.8751567070622649,0.588069368992896
Co60,10.0,9641,9562,8380,5620,0.9918058292708225,0.869204439373509,0.5829270822528784
Co60,10.0,9780,9771,8040,5596,0.999079754601227,0.8220858895705522,0.5721881390593047
Co60,10.0,9915,9164,8362,5680,0.924256177508825,0.843368633383762,0.5728693898134141
Co60,10.0,9329,9373,8050,5387,1.0047164755064852,0.8629006324364884,0.5774466716689892
Co60,10.0,9562,9428,7584,5542,0.9859861953566199,0.7931395105626438,0.5795858606985986
Co60,10.0,9430,9489,8212,5416,1.006256627783669,0.8708377518557794,0.5743372216330859
Co60,10.0,9383,9215,7881,5740,0.9820952786955132,0.8399232654801236,0.6117446445699669
Co60,10.0,9561,9205,8128,5596,0.9627654011086706,0.8501202803054074,0.5852944252693233
Co60,10.0,9624,9632,8163,5490,1.0008312551953449,0.8481920199501247,0.5704488778054863
Co60,10.0,9693,9215,7806,5671,0.950686062106675,0.805323429278861,0.5850613845042815
Co60,10.0,9666,9789,8182,5642,1.0127250155183116,0.8464721704945168,0.5836954272708462
Co60,10.0,9434,10010,7977,5579,1.0610557557769769,0.845558617765529,0.591371634513462
Co60,10.0,9486,8860,8126,5487,0.9340080118068733,0.8566308243727598,0.5784313725490197
Co60,10.0,9754,9468,8301,5601,0.9706786959196227,0.8510354726266147,0.5742259585810949
Co60,10.0,9813,9800,7916,5480,0.9986752267400387,0.8066850096810354,0.5584428818913686
Co60,10.0,9477,9036,8159,5389,0.9534662867996201,0.8609264535190461,0.5686398649361613
Co60,10.0,9623,9194,7906,5732,0.9554193079081368,0.8215733139353631,0.5956562402577159
Co60,10.0,9165,9286,7801,5641,1.013202400436443,0.8511729405346427,0.615493726132024
Co60,10.0,9704,9290,7860,5435,0.9573371805441055,0.8099752679307503,0.560078318219291
Co60,10.0,10080,8950,8372,5386,0.8878968253968254,0.8305555555555556,0.5343253968253968
Co60,10.0,9819,9228,8738,5164,0.9398105713412771,0.8899073225379367,0.5259191363682656
Co60,10.0,9495,9307,7815,5676,0.9802001053185887,0.8230647709320695,0.5977883096366509
Co60,10.0,9755,9600,8032,5505,0.9841107124551512,0.8233726294208098,0.5643259866735008
Co60,10.0,9616,9503,8314,5502,0.9882487520798668,0.8646006655574043,0.572171381031614
Co60,10.0,9912,9363,7889,5410,0.9446125907990315,0.7959039548022598,0.5458030669895076
Co60,10.0,9392,9109,7776,5500,0.9698679727427598,0.82793867120954,0.5856047700170358
Co60,10.0,9487,9286,7714,5377,0.9788131126805102,0.8131126805101718,0.5667755876462528
Co60,10.0,9690,9115,8209,5599,0.9406604747162023,0.8471620227038184,0.57781217750258
Co60,10.0,9794,9082,8109,5586,0.92730243005922,0.8279558913620584,0.5703491933837043
Co60,10.0,9597,9397,7872,5451,0.9791601542148588,0.8202563301031572,0.5679899968740232
Co60,10.0,9637,9907,7941,5609,1.0280170177441113,0.8240116218740272,0.5820276019508146
Co60,10.0,9945,9345,7816,5424,0.9396681749622926,0.7859225741578683,0.5453996983408748
Co60,10.0,9550,9529,8149,5416,0.9978010471204188,0.8532984293193717,0.5671204188481676
Co60,10.0,10291,9696,8269,5629,0.9421824895539792,0.8035176367699932,0.5469828005052959
Co60,10.0,9855,9045,8379,5444,0.9178082191780822,0.8502283105022831,0.5524099441907661
Co60,10.0,9129,9344,7621,5523,1.0235513199693285,0.834812137145361,0.6049950706539599
Co60,10.0,9598,9256,7762,5516,0.9643675765784538,0.8087101479474891,0.5747030631381538
